"dispersal_scale" "sigma" "divergence_threshold" "model"
443.122529644269 0.00551778656126482 2.00395256916996 "SA_model_1"
555.438735177866 0.00324110671936759 2.5098814229249 "SA_model_2"
330.806324110672 0.00779446640316206 1.49802371541502 "SA_model_3"
386.96442687747 0.00437944664031621 2.25691699604743 "SA_model_4"
611.596837944664 0.00893280632411067 1.24505928853755 "SA_model_5"
499.280632411067 0.00210276679841897 1.75098814229249 "SA_model_6"
274.648221343874 0.00665612648221344 2.76284584980237 "SA_model_7"
302.727272727273 0.0038102766798419 1.62450592885375 "SA_model_8"
527.359683794466 0.00836363636363636 2.63636363636364 "SA_model_9"
639.675889328063 0.00153359683794466 2.1304347826087 "SA_model_10"
415.04347826087 0.00608695652173913 1.11857707509881 "SA_model_11"
358.885375494071 0.00267193675889328 2.88932806324111 "SA_model_12"
583.517786561265 0.00722529644268775 1.87747035573123 "SA_model_13"
471.201581027668 0.00494861660079051 1.37154150197628 "SA_model_14"
246.569169960474 0.00950197628458498 2.38339920948617 "SA_model_15"
260.608695652174 0.00523320158102767 2.699604743083 "SA_model_16"
485.241106719368 0.00978656126482214 1.68774703557312 "SA_model_17"
597.557312252964 0.00295652173913043 1.18181818181818 "SA_model_18"
372.924901185771 0.0075098814229249 2.19367588932806 "SA_model_19"
429.083003952569 0.00181818181818182 1.94071146245059 "SA_model_20"
653.715415019763 0.00637154150197628 2.95256916996047 "SA_model_21"
541.399209486166 0.00409486166007905 2.44664031620553 "SA_model_22"
316.766798418972 0.00864822134387352 1.43478260869565 "SA_model_23"
288.687747035573 0.00238735177865613 2.06719367588933 "SA_model_24"
513.320158102767 0.00694071146245059 1.05533596837945 "SA_model_25"
625.636363636364 0.00466403162055336 1.56126482213439 "SA_model_26"
401.00395256917 0.00921739130434783 2.57312252964427 "SA_model_27"
344.845849802372 0.00352569169960474 1.30830039525692 "SA_model_28"
569.478260869565 0.00807905138339921 2.3201581027668 "SA_model_29"
457.162055335968 0.00124901185770751 2.82608695652174 "SA_model_30"
232.529644268775 0.00580237154150198 1.81422924901186 "SA_model_31"
239.549407114625 0.00338339920948617 2.22529644268775 "SA_model_32"
464.181818181818 0.00793675889328063 1.21343873517787 "SA_model_33"
576.498023715415 0.00110671936758893 1.71936758893281 "SA_model_34"
351.865612648221 0.0056600790513834 2.73122529644269 "SA_model_35"
408.02371541502 0.00224505928853755 1.46640316205534 "SA_model_36"
632.656126482213 0.00679841897233202 2.47826086956522 "SA_model_37"
520.339920948617 0.00452173913043478 2.98418972332016 "SA_model_38"
295.707509881423 0.00907509881422925 1.97233201581028 "SA_model_39"
323.786561264822 0.00167588932806324 2.60474308300395 "SA_model_40"
548.418972332016 0.00622924901185771 1.59288537549407 "SA_model_41"
660.735177865613 0.00395256916996047 1.08695652173913 "SA_model_42"
436.102766798419 0.00850592885375494 2.09881422924901 "SA_model_43"
379.944664031621 0.00509090909090909 1.84584980237154 "SA_model_44"
604.577075098814 0.00964426877470356 2.85770750988142 "SA_model_45"
492.260869565217 0.00281422924901186 2.35177865612648 "SA_model_46"
267.628458498024 0.00736758893280632 1.3399209486166 "SA_model_47"
253.588932806324 0.00309881422924901 1.5296442687747 "SA_model_48"
478.221343873518 0.00765217391304348 2.54150197628458 "SA_model_49"
590.537549407115 0.00537549407114625 2.03557312252964 "SA_model_50"
365.905138339921 0.00992885375494071 1.02371541501976 "SA_model_51"
422.063241106719 0.00423715415019763 2.79446640316206 "SA_model_52"
646.695652173913 0.0087905138339921 1.78260869565217 "SA_model_53"
534.379446640316 0.0019604743083004 1.27667984189723 "SA_model_54"
309.747035573123 0.00651383399209486 2.28853754940711 "SA_model_55"
281.667984189723 0.00480632411067194 1.1501976284585 "SA_model_56"
506.300395256917 0.0093596837944664 2.16205533596838 "SA_model_57"
618.616600790514 0.0025296442687747 2.66798418972332 "SA_model_58"
393.98418972332 0.00708300395256917 1.65612648221344 "SA_model_59"
337.826086956522 0.00139130434782609 2.41501976284585 "SA_model_60"
562.458498023715 0.00594466403162055 1.40316205533597 "SA_model_61"
450.142292490119 0.00366798418972332 1.90909090909091 "SA_model_62"
225.509881422925 0.00822134387351779 2.92094861660079 "SA_model_63"
229.01976284585 0.00459288537549407 1.89328063241107 "SA_model_64"
453.652173913043 0.00914624505928854 2.90513833992095 "SA_model_65"
565.96837944664 0.00231620553359684 2.39920948616601 "SA_model_66"
341.335968379447 0.0068695652173913 1.38735177865613 "SA_model_67"
397.494071146245 0.00117786561264822 2.65217391304348 "SA_model_68"
622.126482213439 0.00573122529644269 1.6403162055336 "SA_model_69"
509.810276679842 0.00345454545454545 1.13438735177866 "SA_model_70"
285.177865612648 0.00800790513833992 2.14624505928854 "SA_model_71"
313.256916996047 0.00288537549407115 1.26086956521739 "SA_model_72"
537.889328063241 0.00743873517786561 2.27272727272727 "SA_model_73"
650.205533596838 0.00516205533596838 2.77865612648221 "SA_model_74"
425.573122529644 0.00971541501976285 1.76679841897233 "SA_model_75"
369.415019762846 0.00402371541501976 2.0197628458498 "SA_model_76"
594.04743083004 0.00857707509881423 1.00790513833992 "SA_model_77"
481.731225296443 0.00174703557312253 1.51383399209486 "SA_model_78"
257.098814229249 0.006300395256917 2.52569169960474 "SA_model_79"
271.138339920949 0.00203162055335968 2.33596837944664 "SA_model_80"
495.770750988142 0.00658498023715415 1.32411067193676 "SA_model_81"
608.086956521739 0.00430830039525692 1.8300395256917 "SA_model_82"
383.454545454545 0.00886166007905138 2.84189723320158 "SA_model_83"
439.612648221344 0.00544664031620553 1.07114624505929 "SA_model_84"
664.245059288538 0.01 2.08300395256917 "SA_model_85"
551.928853754941 0.0031699604743083 2.58893280632411 "SA_model_86"
327.296442687747 0.00772332015810277 1.57707509881423 "SA_model_87"
299.217391304348 0.00373913043478261 2.96837944664032 "SA_model_88"
523.849802371542 0.00829249011857707 1.95652173913043 "SA_model_89"
636.166007905138 0.00146245059288538 1.45059288537549 "SA_model_90"
411.533596837945 0.00601581027667984 2.46245059288538 "SA_model_91"
355.375494071146 0.00260079051383399 1.70355731225296 "SA_model_92"
580.00790513834 0.00715415019762846 2.71541501976285 "SA_model_93"
467.691699604743 0.00487747035573123 2.20948616600791 "SA_model_94"
243.059288537549 0.00943083003952569 1.19762845849802 "SA_model_95"
236.0395256917 0.00217391304347826 2.87351778656126 "SA_model_96"
460.671936758893 0.00672727272727273 1.86166007905138 "SA_model_97"
572.98814229249 0.00445059288537549 1.35573122529644 "SA_model_98"
348.355731225296 0.00900395256916996 2.36758893280632 "SA_model_99"
404.513833992095 0.00331225296442688 1.60869565217391 "SA_model_100"
629.146245059289 0.00786561264822135 2.62055335968379 "SA_model_101"
516.830039525692 0.00103557312252964 2.11462450592885 "SA_model_102"
292.197628458498 0.00558893280632411 1.10276679841897 "SA_model_103"
320.276679841897 0.0050197628458498 2.49407114624506 "SA_model_104"
544.909090909091 0.00957312252964427 1.48221343873518 "SA_model_105"
657.225296442688 0.00274308300395257 1.98814229249012 "SA_model_106"
432.592885375494 0.00729644268774704 3 "SA_model_107"
376.434782608696 0.00160474308300395 1.22924901185771 "SA_model_108"
601.067193675889 0.00615810276679842 2.24110671936759 "SA_model_109"
488.750988142292 0.00388142292490119 2.74703557312253 "SA_model_110"
264.118577075099 0.00843478260869565 1.73517786561265 "SA_model_111"
250.079051383399 0.00416600790513834 1.41897233201581 "SA_model_112"
474.711462450593 0.00871936758893281 2.43083003952569 "SA_model_113"
587.02766798419 0.00188932806324111 2.93675889328063 "SA_model_114"
362.395256916996 0.00644268774703557 1.92490118577075 "SA_model_115"
418.553359683794 0.00302766798418972 2.17786561264822 "SA_model_116"
643.185770750988 0.00758102766798419 1.16600790513834 "SA_model_117"
530.869565217391 0.00530434782608696 1.67193675889328 "SA_model_118"
306.237154150198 0.00985770750988142 2.68379446640316 "SA_model_119"
278.158102766798 0.0013201581027668 1.79841897233202 "SA_model_120"
502.790513833992 0.00587351778656126 2.8102766798419 "SA_model_121"
